date,year,month,SST
1999-10-10,1999,10,30.821308135986328
2000-01-10,2000,1,26.128419876098633
2000-05-10,2000,5,28.172285079956055
2000-07-10,2000,7,30.280467987060547
2000-10-10,2000,10,30.68108558654785
2001-01-10,2001,1,25.46462059020996
2001-05-10,2001,5,28.656204223632812
2001-07-10,2001,7,30.987010955810547
2001-10-10,2001,10,30.90140724182129
2002-01-10,2002,1,25.883127212524414
2002-05-10,2002,5,27.727563858032227
2002-07-10,2002,7,30.37449073791504
2002-10-10,2002,10,30.967174530029297
2003-01-10,2003,1,25.962020874023438
2003-05-10,2003,5,28.180463790893555
2003-07-10,2003,7,30.292238235473633
2003-10-10,2003,10,30.514352798461914
2004-01-10,2004,1,26.028493881225586
2004-05-10,2004,5,28.931373596191406
2004-07-10,2004,7,30.254350662231445
2004-10-10,2004,10,30.41202735900879
2005-01-10,2005,1,25.39386558532715
2005-05-10,2005,5,27.963056564331055
2005-07-10,2005,7,30.527040481567383
2005-10-10,2005,10,30.534269332885742
2006-01-10,2006,1,25.888547897338867
2006-05-10,2006,5,28.229475021362305
2006-07-10,2006,7,30.398408889770508
2006-10-10,2006,10,30.875503540039062
2007-01-10,2007,1,25.202316284179688
2007-05-10,2007,5,29.101320266723633
2007-07-10,2007,7,30.721569061279297
2007-10-10,2007,10,30.064598083496094
2008-01-10,2008,1,25.601348876953125
2008-05-10,2008,5,27.755619049072266
2008-07-10,2008,7,30.34208106994629
2008-10-10,2008,10,30.53091049194336
2009-01-10,2009,1,25.719322204589844
2009-05-10,2009,5,27.159624099731445
2009-07-10,2009,7,29.729650497436523
2009-10-10,2009,10,30.471670150756836
2010-01-10,2010,1,26.373271942138672
2010-05-10,2010,5,28.899324417114258
2010-07-10,2010,7,29.964529037475586
2010-10-10,2010,10,31.070329666137695
2011-01-10,2011,1,26.08224868774414
2011-05-10,2011,5,27.69518280029297
2011-07-10,2011,7,29.622655868530273
2011-10-10,2011,10,30.300397872924805
2012-01-10,2012,1,25.71402359008789
2012-05-10,2012,5,28.419971466064453
2012-07-10,2012,7,30.544527053833008
2012-10-10,2012,10,30.57901954650879
2013-01-10,2013,1,25.978281021118164
2013-05-10,2013,5,28.78594970703125
2013-07-10,2013,7,29.775827407836914
2013-10-10,2013,10,30.05243492126465
2014-01-10,2014,1,25.553804397583008
2014-05-10,2014,5,28.31591033935547
2014-07-10,2014,7,30.128948211669922
2014-10-10,2014,10,30.425397872924805
2015-01-10,2015,1,25.715349197387695
2015-05-10,2015,5,28.7655086517334
2015-07-10,2015,7,29.34738540649414
2015-10-10,2015,10,31.05401039123535
2016-01-10,2016,1,25.647571563720703
2016-05-10,2016,5,28.949979782104492
2016-07-10,2016,7,31.06500816345215
2016-10-10,2016,10,31.02660369873047
2017-01-10,2017,1,26.101333618164062
2017-05-10,2017,5,28.754562377929688
2017-07-10,2017,7,30.803035736083984
2017-10-10,2017,10,30.46550941467285
2018-01-10,2018,1,25.818078994750977
2018-05-10,2018,5,28.728513717651367
2018-07-10,2018,7,30.51068687438965
2018-10-10,2018,10,31.30546760559082
2019-01-10,2019,1,26.114614486694336
2019-05-10,2019,5,27.681377410888672
2019-07-10,2019,7,30.86886978149414
2019-10-10,2019,10,31.120134353637695
2020-01-10,2020,1,26.046493530273438
2020-05-10,2020,5,28.364049911499023
2020-07-10,2020,7,30.28241729736328
2020-10-10,2020,10,31.78687858581543
2021-01-10,2021,1,26.643869400024414
2021-05-10,2021,5,29.51609230041504
2021-07-10,2021,7,30.846994400024414
2021-10-10,2021,10,30.581409454345703
2022-01-10,2022,1,26.204858779907227
2022-05-10,2022,5,28.66469383239746
2022-07-10,2022,7,30.535964965820312
2022-10-10,2022,10,31.240478515625
2023-01-10,2023,1,26.192445755004883
2023-05-10,2023,5,28.41390609741211
2023-07-10,2023,7,31.02451515197754
2023-10-10,2023,10,31.700084686279297
